SerialNumber,IsPresent,Title,Authors,Edition,Volume,Year,Publisher,ISBN,Notes,RIS,NLMClassification,LCCClassification,MeSHTerms,EbookURL,,,,,,,,,,,
317,TRUE,Core Curriculum for Critical Care Nursing,AACN (American Association of Critical-Care Nurses),6th,,2006,Elsevier Saunders,,Año basado en etiqueta.,TY  - BOOK|||T1  - Core Curriculum for Critical Care Nursing|||AU  - AACN (American Association of Critical-Care Nurses)|||ED  - 6th|||PY  - 2006|||PB  - Elsevier Saunders|||N1  - Year based on library label.|||ER  -,WY 154,RT120.I5,Critical Care Nursing; Curriculum,,,,,,,,,,,,
318,TRUE,Essentials of Medical Assisting,"Alspach, JoAnn Grif",2nd,,2010,WB Saunders?,,Año basado en etiqueta. Editorial probable.,"TY  - BOOK|||T1  - Essentials of Medical Assisting|||AU  - Alspach, JoAnn Grif|||ED  - 2nd|||PY  - 2010|||PB  - WB Saunders?|||N1  - Year based on library label. Publisher likely.|||ER  - ",W 80,R728.8,Medical Assistants,,,,,,,,,,,,
319,TRUE,Introduction to Medical Assisting,"Seguin, Dorothy R.; Seachrist, Connie",,,2010?,WB Saunders?,,Año basado en etiqueta. Editorial probable.,"TY  - BOOK|||T1  - Introduction to Medical Assisting|||AU  - Seguin, Dorothy R.|||AU  - Seachrist, Connie|||PY  - 2010|||PB  - WB Saunders?|||N1  - Year based on library label. Publisher likely.|||ER  - ",W 80,R728.8,Medical Assistants,,,,,,,,,,,,
320,TRUE,Foundations for Population Health in Community/Public Health Nursing,"Stanhope, Marcia; Lancaster, Jeanette",5th,,2018,Elsevier,978-0-323-31069-7,El lomo indicaba 'Population-Centered Health Care in the Community'.,"TY  - BOOK|||T1  - Foundations for Population Health in Community/Public Health Nursing|||AU  - Stanhope, Marcia|||AU  - Lancaster, Jeanette|||ED  - 5th|||PY  - 2018|||PB  - Elsevier|||SN  - 978-0-323-31069-7|||N1  - Spine indicated 'Population-Centered Health Care in the Community'.|||ER  - ",,,,,,,,,,,,,,,
321,TRUE,Public Health Nursing: Population-Centered Health Care in the Community,"Stanhope, Marcia; Lancaster, Jeanette",8th,,2012,Elsevier Mosby,,"Repetido de 244, misma info.","TY  - BOOK|||T1  - Public Health Nursing: Population-Centered Health Care in the Community|||AU  - Stanhope, Marcia|||AU  - Lancaster, Jeanette|||ED  - 8th|||PY  - 2012|||PB  - Elsevier Mosby|||N1  - Duplicate of 244, same info.|||ER  - ",WY 106,RT97,Public Health Nursing; Community Health Nursing,https://evolve.elsevier.com/cs/product/9780323067151?role=student,,,,,,,,,,,
322,TRUE,Jarvis's Physical Examination & Health Assessment,"Jarvis, Carolyn; Browne, Ann J.; MacDonald-Jenkins, June; Luctkar-Flude, Marian",2nd Canadian Ed.,,2014,Elsevier Canada,,,"TY  - BOOK|||T1  - Jarvis's Physical Examination & Health Assessment|||AU  - Jarvis, Carolyn|||AU  - Browne, Ann J.|||AU  - MacDonald-Jenkins, June|||AU  - Luctkar-Flude, Marian|||ED  - 2nd Canadian Ed.|||PY  - 2014|||PB  - Elsevier Canada|||ER  - ",WB 205,RC76,Physical Examination,,,,,,,,,,,,
323,TRUE,Priorities in Critical Care Nursing,"Urden, Linda D.; Stacy, Kathleen M.; Lough, Mary E.",6th,,2012,Elsevier Mosby,,,"TY  - BOOK|||T1  - Priorities in Critical Care Nursing|||AU  - Urden, Linda D.|||AU  - Stacy, Kathleen M.|||AU  - Lough, Mary E.|||ED  - 6th|||PY  - 2012|||PB  - Elsevier Mosby|||ER  - ",WY 154,RT120.I5,Critical Care Nursing,https://evolve.elsevier.com/cs/product/9780323074612?role=student,,,,,,,,,,,
324,TRUE,Health Assessment for Nursing Practice,"Wilson, Susan F.; Giddens, Jean Foret",5th,,2013,Elsevier Mosby,,,"TY  - BOOK|||T1  - Health Assessment for Nursing Practice|||AU  - Wilson, Susan F.|||AU  - Giddens, Jean Foret|||ED  - 5th|||PY  - 2013|||PB  - Elsevier Mosby|||ER  - ",WB 205,RT48,Nursing Assessment; Physical Examination,https://evolve.elsevier.com/cs/product/9780323085957?role=student,,,,,,,,,,,
325,FALSE,(Cuaderno Espiral),,,,,,,,,,,,,,,,,,,,,,,
326,TRUE,"Winningham's Critical Thinking Cases in Nursing: Medical-Surgical, Pediatric, Maternity, and Psychiatric","Harding, Mariann M.; Snyder, Julie S.; Preusser, Barbara A.",6th,,2016,Elsevier,978-0-323-28961-0,El lomo indicaba 'Bingham's Medical Surgical Nursing...'. Título completo del ISBN.,"TY  - BOOK|||T1  - Winningham's Critical Thinking Cases in Nursing: Medical-Surgical, Pediatric, Maternity, and Psychiatric|||AU  - Harding, Mariann M.|||AU  - Snyder, Julie S.|||AU  - Preusser, Barbara A.|||ED  - 6th|||PY  - 2016|||PB  - Elsevier|||SN  - 978-0-323-28961-0|||N1  - Spine indicated 'Bingham's Medical Surgical Nursing...'. Full title from ISBN.|||ER  - ",,,,,,,,,,,,,,,
327,TRUE,Calculation of Drug Dosages: A Work Text,"Ogden, Sheila J.; Fluharty, Linda",10th,,2016,Mosby Elsevier,978-0-323-32153-2,,"TY  - BOOK|||T1  - Calculation of Drug Dosages: A Work Text|||AU  - Ogden, Sheila J.|||AU  - Fluharty, Linda|||ED  - 10th|||PY  - 2016|||PB  - Mosby Elsevier|||SN  - 978-0-323-32153-2|||ER  - ",,,,,,,,,,,,,,,
328,TRUE,Physical Examination & Health Assessment,"Jarvis, Carolyn",6th,,2012,Elsevier Saunders,978-1-4377-0151-7,El lomo indicaba 'Jarvis's...'.,"TY  - BOOK|||T1  - Physical Examination & Health Assessment|||AU  - Jarvis, Carolyn|||ED  - 6th|||PY  - 2012|||PB  - Elsevier Saunders|||SN  - 978-1-4377-0151-7|||N1  - Spine indicated 'Jarvis's...'.|||ER  - ",,,,,,,,,,,,,,,
329,TRUE,Mosby's Textbook for Long-Term Care Nursing Assistants,"Sorrentino, Sheila A.; Gorek, Bernie",6th,,2012,Elsevier Mosby,,"Repetido de 315, misma info.","TY  - BOOK|||T1  - Mosby's Textbook for Long-Term Care Nursing Assistants|||AU  - Sorrentino, Sheila A.|||AU  - Gorek, Bernie|||ED  - 6th|||PY  - 2012|||PB  - Elsevier Mosby|||N1  - Duplicate of 315, same info.|||ER  - ",WY 193,RT84,Nurses' Aides; Long-Term Care,https://evolve.elsevier.com/cs/product/9780323077538?role=student,,,,,,,,,,,
330,TRUE,Workbook and Competency Evaluation Review for Mosby's Textbook for Long-Term Care Nursing Assistants,"Sorrentino, Sheila A.; Gorek, Bernie",7th,,2016,Elsevier,978-0-323-32080-1,El lomo indicaba 'Mosby's Textbook for Long-Term Care Nursing Assistants - Workbook'.,"TY  - BOOK|||T1  - Workbook and Competency Evaluation Review for Mosby's Textbook for Long-Term Care Nursing Assistants|||AU  - Sorrentino, Sheila A.|||AU  - Gorek, Bernie|||ED  - 7th|||PY  - 2016|||PB  - Elsevier|||SN  - 978-0-323-32080-1|||N1  - Spine indicated 'Mosby's Textbook for Long-Term Care Nursing Assistants - Workbook'.|||ER  - ",,,,,,,,,,,,,,,
331,TRUE,Principles and Practice of Psychiatric Nursing,"Stuart, Gail W.; Laraia, Michele T.",8th,,2005,Mosby,0-323-02608-7,ISBN-10.,"TY  - BOOK|||T1  - Principles and Practice of Psychiatric Nursing|||AU  - Stuart, Gail W.|||AU  - Laraia, Michele T.|||ED  - 8th|||PY  - 2005|||PB  - Mosby|||SN  - 0-323-02608-7|||N1  - ISBN-10.|||ER  - ",,,,,,,,,,,,,,,
332,TRUE,Health Informatics: An Interprofessional Approach,"Nelson, Ramona; Staggers, Nancy",,,2014?,Elsevier Mosby,,Año basado en etiqueta.,"TY  - BOOK|||T1  - Health Informatics: An Interprofessional Approach|||AU  - Nelson, Ramona|||AU  - Staggers, Nancy|||PY  - 2014|||PB  - Elsevier Mosby|||N1  - Year based on library label.|||ER  - ",W 26.5,R858,Medical Informatics,https://evolve.elsevier.com/cs/product/9780323100953?role=student,,,,,,,,,,,
333,TRUE,Introduction to Clinical Pharmacology,"Edmunds, Marilyn Winterton",6th,,2009,Mosby Elsevier,0-323-01910-2,ISBN-10.,"TY  - BOOK|||T1  - Introduction to Clinical Pharmacology|||AU  - Edmunds, Marilyn Winterton|||ED  - 6th|||PY  - 2009|||PB  - Mosby Elsevier|||SN  - 0-323-01910-2|||N1  - ISBN-10.|||ER  - ",,,,,,,,,,,,,,,
334,TRUE,Kinn's The Medical Assistant: An Applied Learning Approach,"Young, Alexandra Patricia; Proctor, Deborah B.",10th,,2007,Saunders Elsevier,0-7216-0050-6,ISBN-10.,"TY  - BOOK|||T1  - Kinn's The Medical Assistant: An Applied Learning Approach|||AU  - Young, Alexandra Patricia|||AU  - Proctor, Deborah B.|||ED  - 10th|||PY  - 2007|||PB  - Saunders Elsevier|||SN  - 0-7216-0050-6|||N1  - ISBN-10.|||ER  - ",,,,,,,,,,,,,,,
335,TRUE,Shoulder Instability: A Comprehensive Approach,"Provencher, Matthew T.; Romeo, Anthony A.",,,2011,Elsevier Saunders,978-0-323-02875-2,"Editors: Matthew T. Provencher, Anthony A. Romeo.","TY  - BOOK|||T1  - Shoulder Instability: A Comprehensive Approach|||AU  - Provencher, Matthew T.|||AU  - Romeo, Anthony A.|||PY  - 2011|||PB  - Elsevier Saunders|||SN  - 978-0-323-02875-2|||N1  - Editors: Matthew T. Provencher, Anthony A. Romeo.|||ER  - ",,,,,,,,,,,,,,,
336,FALSE,(Vacío),,,,,,,,,,,,,,,,,,,,,,,
337,FALSE,(Vacío),,,,,,,,,,,,,,,,,,,,,,,
338,TRUE,Early Diagnosis and Treatment of Ovarian Cancer,"Mutch, David G.; Heffernan, Timothy P.; Herzog, Thomas J.",,,2007,Elsevier Saunders,978-1-4160-5202-9,"Editors: David G. Mutch, Timothy P. Heffernan, Thomas J. Herzog.","TY  - BOOK|||T1  - Early Diagnosis and Treatment of Ovarian Cancer|||AU  - Mutch, David G.|||AU  - Heffernan, Timothy P.|||AU  - Herzog, Thomas J.|||PY  - 2007|||PB  - Elsevier Saunders|||SN  - 978-1-4160-5202-9|||N1  - Editors: David G. Mutch, Timothy P. Heffernan, Thomas J. Herzog.|||ER  - ",,,,,,,,,,,,,,,
339,TRUE,Treatment of Advanced Ovarian Cancer,"Mutch, David G.; Herzog, Thomas J.",,,2007,Elsevier Saunders,978-1-4160-4685-1,"Editors: David G. Mutch, Thomas J. Herzog.","TY  - BOOK|||T1  - Treatment of Advanced Ovarian Cancer|||AU  - Mutch, David G.|||AU  - Herzog, Thomas J.|||PY  - 2007|||PB  - Elsevier Saunders|||SN  - 978-1-4160-4685-1|||N1  - Editors: David G. Mutch, Thomas J. Herzog.|||ER  - ",,,,,,,,,,,,,,,
340,TRUE,Berne & Levy Physiology,"Koeppen, Bruce M.; Stanton, Bruce A.",Updated 6th,,2010,Mosby Elsevier,,,"TY  - BOOK|||T1  - Berne & Levy Physiology|||AU  - Koeppen, Bruce M.|||AU  - Stanton, Bruce A.|||ED  - Updated 6th|||PY  - 2010|||PB  - Mosby Elsevier|||ER  - ",QT 104,QP34.5,Physiology,https://www.clinicalkey.com/#!/browse/book/3-s2.0-C20090429355,,,,,,,,,,,
341,TRUE,Fundamental Concepts and Skills for Nursing,"deWit, Susan C.; O'Neill, Patricia A.",4th,,2014,Elsevier Saunders,,,"TY  - BOOK|||T1  - Fundamental Concepts and Skills for Nursing|||AU  - deWit, Susan C.|||AU  - O'Neill, Patricia A.|||ED  - 4th|||PY  - 2014|||PB  - Elsevier Saunders|||ER  - ",WY 100,RT41,Nursing; Nursing Process,https://evolve.elsevier.com/cs/product/9781455746064?role=student,,,,,,,,,,,
342,TRUE,Maternal Child Nursing Care,"Perry, Shannon E.; Hockenberry, Marilyn J.; Lowdermilk, Deitra Leonard; Wilson, David",4th,,2010,Mosby Elsevier,,,"TY  - BOOK|||T1  - Maternal Child Nursing Care|||AU  - Perry, Shannon E.|||AU  - Hockenberry, Marilyn J.|||AU  - Lowdermilk, Deitra Leonard|||AU  - Wilson, David|||ED  - 4th|||PY  - 2010|||PB  - Mosby Elsevier|||ER  - ",WY 157.3,RJ245,Maternal-Child Nursing,https://evolve.elsevier.com/cs/product/9780323057206?role=student,,,,,,,,,,,
343,TRUE,Pharmacology for Canadian Health Care Practice,"Lilley, Linda Lane; Harrington, Scott; Snyder, Julie S.; Swart, Beth",2nd Canadian Ed.,,2011,Mosby Elsevier Canada,978-1-897422-14-4,,"TY  - BOOK|||T1  - Pharmacology for Canadian Health Care Practice|||AU  - Lilley, Linda Lane|||AU  - Harrington, Scott|||AU  - Snyder, Julie S.|||AU  - Swart, Beth|||ED  - 2nd Canadian Ed.|||PY  - 2011|||PB  - Mosby Elsevier Canada|||SN  - 978-1-897422-14-4|||ER  - ",,,,,,,,,,,,,,,
344,TRUE,Ferri's Clinical Advisor 2011,"Ferri, Fred F.",,,2011,Mosby Elsevier,,Anual.,"TY  - BOOK|||T1  - Ferri's Clinical Advisor 2011|||AU  - Ferri, Fred F.|||PY  - 2011|||PB  - Mosby Elsevier|||N1  - Annual publication.|||ER  - ",WB 39,RC55,Clinical Medicine; Handbooks,,,,,,,,,,,,
345,TRUE,Pharmacology for Nursing Care,"Lehne, Richard A.",5th,,2004,Saunders,,,"TY  - BOOK|||T1  - Pharmacology for Nursing Care|||AU  - Lehne, Richard A.|||ED  - 5th|||PY  - 2004|||PB  - Saunders|||ER  - ",QV 4,RM301.15,Pharmacology; Drug Therapy / nursing,,,,,,,,,,,,
346,TRUE,Pharmacology for Nursing Care,"Lehne, Richard A.",7th,,2010,Saunders Elsevier,,,"TY  - BOOK|||T1  - Pharmacology for Nursing Care|||AU  - Lehne, Richard A.|||ED  - 7th|||PY  - 2010|||PB  - Saunders Elsevier|||ER  - ",QV 4,RM301.15,Pharmacology; Drug Therapy / nursing,https://evolve.elsevier.com/cs/product/9781437735826?role=student,,,,,,,,,,,
347,TRUE,Physical Examination and Health Assessment,"Jarvis, Carolyn; Browne, Ann J.; MacDonald-Jenkins, June; Luctkar-Flude, Marian",2nd Canadian Ed.,,2014,Elsevier Canada,978-1-926648-72-9,El lomo indicaba 'Jarvis's...'.,"TY  - BOOK|||T1  - Physical Examination and Health Assessment|||AU  - Jarvis, Carolyn|||AU  - Browne, Ann J.|||AU  - MacDonald-Jenkins, June|||AU  - Luctkar-Flude, Marian|||ED  - 2nd Canadian Ed.|||PY  - 2014|||PB  - Elsevier Canada|||SN  - 978-1-926648-72-9|||N1  - Spine indicated 'Jarvis's...'.|||ER  - ",,,,,,,,,,,,,,,
348,TRUE,Career Development for Health Professionals: Success in School & on the Job,"Haroun, Lee",4th,,2012,Saunders Elsevier,978-1-4377-0673-4,,"TY  - BOOK|||T1  - Career Development for Health Professionals: Success in School & on the Job|||AU  - Haroun, Lee|||ED  - 4th|||PY  - 2012|||PB  - Saunders Elsevier|||SN  - 978-1-4377-0673-4|||ER  - ",,,,,,,,,,,,,,,
349,TRUE,Health Careers Today,"Gerdin, Judith A.",5th,,2011,Mosby Elsevier,,,"TY  - BOOK|||T1  - Health Careers Today|||AU  - Gerdin, Judith A.|||ED  - 5th|||PY  - 2011|||PB  - Mosby Elsevier|||ER  - ",W 21,R690,Health Occupations; Career Choice,https://evolve.elsevier.com/cs/product/9780323074988?role=student,,,,,,,,,,,
350,TRUE,Gray's Basic Anatomy,"Drake, Richard L.; Vogl, A. Wayne; Mitchell, Adam W. M.",,,2012,Elsevier Churchill Livingstone,978-0-323-04253-6,,"TY  - BOOK|||T1  - Gray's Basic Anatomy|||AU  - Drake, Richard L.|||AU  - Vogl, A. Wayne|||AU  - Mitchell, Adam W. M.|||PY  - 2012|||PB  - Elsevier Churchill Livingstone|||SN  - 978-0-323-04253-6|||ER  - ",,,,,,,,,,,,,,,
351,TRUE,Williams' Basic Nutrition & Diet Therapy,"Nix, Staci",13th,,2009,Mosby Elsevier,978-0-323-05199-6,El lomo indicaba 'Basic Nutrition & Diet Therapy'.,"TY  - BOOK|||T1  - Williams' Basic Nutrition & Diet Therapy|||AU  - Nix, Staci|||ED  - 13th|||PY  - 2009|||PB  - Mosby Elsevier|||SN  - 978-0-323-05199-6|||N1  - Spine indicated 'Basic Nutrition & Diet Therapy'.|||ER  - ",,,,,,,,,,,,,,,
352,TRUE,Medical-Surgical Nursing: Patient-Centered Collaborative Care,"Ignatavicius, Donna D.; Workman, M. Linda",8th,1,2016,Elsevier,,Volumen 1.,"TY  - BOOK|||T1  - Medical-Surgical Nursing: Patient-Centered Collaborative Care|||AU  - Ignatavicius, Donna D.|||AU  - Workman, M. Linda|||ED  - 8th|||VL  - 1|||PY  - 2016|||PB  - Elsevier|||N1  - Volume 1.|||ER  - ",WY 150,RT41,Perioperative Nursing; Patient-Centered Care,https://evolve.elsevier.com/cs/product/9781455772544?role=student,,,,,,,,,,,
353,TRUE,Medical-Surgical Nursing: Patient-Centered Collaborative Care,"Ignatavicius, Donna D.; Workman, M. Linda",8th,2,2016,Elsevier,,Volumen 2.,"TY  - BOOK|||T1  - Medical-Surgical Nursing: Patient-Centered Collaborative Care|||AU  - Ignatavicius, Donna D.|||AU  - Workman, M. Linda|||ED  - 8th|||VL  - 2|||PY  - 2016|||PB  - Elsevier|||N1  - Volume 2.|||ER  - ",WY 150,RT41,Perioperative Nursing; Patient-Centered Care,https://evolve.elsevier.com/cs/product/9781455772544?role=student,,,,,,,,,,,
354,TRUE,Medical-Surgical Nursing: Concepts for Interprofessional Collaborative Care,"Ignatavicius, Donna D.; Workman, M. Linda; Rebar, Cherie R.; Heimgartner, Nicole M.",9th,,2018,Elsevier,978-1-4557-7255-1,,"TY  - BOOK|||T1  - Medical-Surgical Nursing: Concepts for Interprofessional Collaborative Care|||AU  - Ignatavicius, Donna D.|||AU  - Workman, M. Linda|||AU  - Rebar, Cherie R.|||AU  - Heimgartner, Nicole M.|||ED  - 9th|||PY  - 2018|||PB  - Elsevier|||SN  - 978-1-4557-7255-1|||ER  - ",,,,,,,,,,,,,,,
355,TRUE,Clinical Nursing Skills & Techniques,"Perry, Anne Griffin; Potter, Patricia Ann; Ostendorf, Wendy",8th,,2014,Elsevier Mosby,,,"TY  - BOOK|||T1  - Clinical Nursing Skills & Techniques|||AU  - Perry, Anne Griffin|||AU  - Potter, Patricia Ann|||AU  - Ostendorf, Wendy|||ED  - 8th|||PY  - 2014|||PB  - Elsevier Mosby|||ER  - ",WY 150,RT51,Nursing Process; Clinical Competence,https://evolve.elsevier.com/cs/product/9780323083830?role=student,,,,,,,,,,,
356,TRUE,Drug Calculations: Ratio and Proportion Problems for Clinical Practice,"Brown, Meta; Mulholland, Joyce M.",9th,,2011,Mosby Elsevier,978-0-323-07750-7,El lomo indicaba 'Gray's Calculations...'. Este ISBN es para #356. #357 es el mismo libro.,"TY  - BOOK|||T1  - Drug Calculations: Ratio and Proportion Problems for Clinical Practice|||AU  - Brown, Meta|||AU  - Mulholland, Joyce M.|||ED  - 9th|||PY  - 2011|||PB  - Mosby Elsevier|||SN  - 978-0-323-07750-7|||N1  - Spine indicated 'Gray's Calculations...'. This ISBN is for #356. #357 is the same book.|||ER  - ",,,,,,,,,,,,,,,
357,TRUE,Drug Calculations: Ratio and Proportion Problems for Clinical Practice,"Brown, Meta; Mulholland, Joyce M.",9th,,2011,Mosby Elsevier,978-0-323-07750-7,Mismo libro que #356.,"TY  - BOOK|||T1  - Drug Calculations: Ratio and Proportion Problems for Clinical Practice|||AU  - Brown, Meta|||AU  - Mulholland, Joyce M.|||ED  - 9th|||PY  - 2011|||PB  - Mosby Elsevier|||SN  - 978-0-323-07750-7|||N1  - Same book as #356.|||ER  - ",,,,,,,,,,,,,,,
358,TRUE,Calculation of Drug Dosages,"Ogden, Sheila J.; Fluharty, Linda",9th,,2011,Mosby Elsevier,,,"TY  - BOOK|||T1  - Calculation of Drug Dosages|||AU  - Ogden, Sheila J.|||AU  - Fluharty, Linda|||ED  - 9th|||PY  - 2011|||PB  - Mosby Elsevier|||ER  - ",QV 18,RS57,Drug Dosage Calculations,https://evolve.elsevier.com/cs/product/9780323068868?role=student,,,,,,,,,,,
359,TRUE,"Nursing Care Plans: Diagnoses, Interventions, & Outcomes","Gulanick, Meg; Myers, Judith L.",8th,,2014,Elsevier Mosby,,,"TY  - BOOK|||T1  - Nursing Care Plans: Diagnoses, Interventions, & Outcomes|||AU  - Gulanick, Meg|||AU  - Myers, Judith L.|||ED  - 8th|||PY  - 2014|||PB  - Elsevier Mosby|||ER  - ",WY 100.4,RT49,Patient Care Planning; Nursing Diagnosis,https://evolve.elsevier.com/cs/product/9780323091371?role=student,,,,,,,,,,,
360,TRUE,Kinesiology: The Skeletal System and Muscle Function,"Muscolino, Joseph E.",2nd,,2011,Elsevier Mosby,,,"TY  - BOOK|||T1  - Kinesiology: The Skeletal System and Muscle Function|||AU  - Muscolino, Joseph E.|||ED  - 2nd|||PY  - 2011|||PB  - Elsevier Mosby|||ER  - ",WE 103,QP303,"Kinesiology, Applied; Musculoskeletal System / physiology",https://evolve.elsevier.com/cs/product/9780323057051?role=student,,,,,,,,,,,
361,TRUE,Maternal Child Nursing Care,"Perry, Shannon E.; Hockenberry, Marilyn J.; Lowdermilk, Deitra Leonard; Wilson, David",4th,,2010,Mosby Elsevier,,"Repetido de 342, misma info.","TY  - BOOK|||T1  - Maternal Child Nursing Care|||AU  - Perry, Shannon E.|||AU  - Hockenberry, Marilyn J.|||AU  - Lowdermilk, Deitra Leonard|||AU  - Wilson, David|||ED  - 4th|||PY  - 2010|||PB  - Mosby Elsevier|||N1  - Duplicate of 342, same info.|||ER  - ",WY 157.3,RJ245,Maternal-Child Nursing,https://evolve.elsevier.com/cs/product/9780323057206?role=student,,,,,,,,,,,
362,TRUE,Wong's Nursing Care of Infants and Children,"Hockenberry, Marilyn J.; Wilson, David",9th,,2011,Elsevier Mosby,,,"TY  - BOOK|||T1  - Wong's Nursing Care of Infants and Children|||AU  - Hockenberry, Marilyn J.|||AU  - Wilson, David|||ED  - 9th|||PY  - 2011|||PB  - Elsevier Mosby|||ER  - ",WY 159,RJ245,Pediatric Nursing,https://evolve.elsevier.com/cs/product/9780323063467?role=student,,,,,,,,,,,
363,TRUE,Medical-Surgical Nursing: Assessment and Management of Clinical Problems,"Lewis, Sharon L.; Dirksen, Shannon Ruff; Heitkemper, Margaret M.; Bucher, Linda; Camera, Ian M.",7th,2,2007,Mosby Elsevier,,Volumen 2.,"TY  - BOOK|||T1  - Medical-Surgical Nursing: Assessment and Management of Clinical Problems|||AU  - Lewis, Sharon L.|||AU  - Dirksen, Shannon Ruff|||AU  - Heitkemper, Margaret M.|||AU  - Bucher, Linda|||AU  - Camera, Ian M.|||ED  - 7th|||VL  - 2|||PY  - 2007|||PB  - Mosby Elsevier|||N1  - Volume 2.|||ER  - ",WY 150,RT41,Perioperative Nursing,,,,,,,,,,,,
364,TRUE,Nutritional Foundations and Clinical Applications: A Nursing Approach,"Grodner, Michele; Roth, Sara L.; Walkingshaw, Bonnie C.",5th,,2012,Elsevier Mosby,,,"TY  - BOOK|||T1  - Nutritional Foundations and Clinical Applications: A Nursing Approach|||AU  - Grodner, Michele|||AU  - Roth, Sara L.|||AU  - Walkingshaw, Bonnie C.|||ED  - 5th|||PY  - 2012|||PB  - Elsevier Mosby|||ER  - ",QU 145,RM216,Nutrition Therapy; Diet Therapy / nursing,https://evolve.elsevier.com/cs/product/9780323074438?role=student,,,,,,,,,,,
365,TRUE,Trauma Nursing: From Resuscitation Through Rehabilitation,"McQuillan, Kathleen A.; Von Rueden, Kathryn T.; Hartsock, Roberta L.; Flynn, Mary Beth; Whalen, Eileen",4th,,2009,Elsevier Saunders,,,"TY  - BOOK|||T1  - Trauma Nursing: From Resuscitation Through Rehabilitation|||AU  - McQuillan, Kathleen A.|||AU  - Von Rueden, Kathryn T.|||AU  - Hartsock, Roberta L.|||AU  - Flynn, Mary Beth|||AU  - Whalen, Eileen|||ED  - 4th|||PY  - 2009|||PB  - Elsevier Saunders|||ER  - ",WY 156.5,RT120.E4,Wounds and Injuries / nursing; Emergency Nursing; Rehabilitation Nursing,https://www.clinicalkey.com/#!/browse/book/3-s2.0-C2009001071X,,,,,,,,,,,
366,TRUE,Maternal-Child Nursing Care,"McKinney, Emily Slone; James, Susan R.; Murray, Sharon Smith; Nelson, Kristine; Ashwill, Jean Weiler",3rd,,2009,Saunders Elsevier,978-1-4160-5896-0,,"TY  - BOOK|||T1  - Maternal-Child Nursing Care|||AU  - McKinney, Emily Slone|||AU  - James, Susan R.|||AU  - Murray, Sharon Smith|||AU  - Nelson, Kristine|||AU  - Ashwill, Jean Weiler|||ED  - 3rd|||PY  - 2009|||PB  - Saunders Elsevier|||SN  - 978-1-4160-5896-0|||ER  - ",,,,,,,,,,,,,,,
367,TRUE,Medical-Surgical Nursing,"deWit, Susan C.; Kumagai, Candice K.",7th,,2013,Elsevier Saunders,,,"TY  - BOOK|||T1  - Medical-Surgical Nursing|||AU  - deWit, Susan C.|||AU  - Kumagai, Candice K.|||ED  - 7th|||PY  - 2013|||PB  - Elsevier Saunders|||ER  - ",WY 150,RT41,Perioperative Nursing,https://evolve.elsevier.com/cs/product/9781455728411?role=student,,,,,,,,,,,
368,TRUE,Public Health Nursing: Population-Centered Health Care in the Community,"Stanhope, Marcia; Lancaster, Jeanette",8th,,2012,Elsevier Mosby,,"Repetido de 244 y 321, misma info.","TY  - BOOK|||T1  - Public Health Nursing: Population-Centered Health Care in the Community|||AU  - Stanhope, Marcia|||AU  - Lancaster, Jeanette|||ED  - 8th|||PY  - 2012|||PB  - Elsevier Mosby|||N1  - Duplicate of 244 & 321, same info.|||ER  - ",WY 106,RT97,Public Health Nursing; Community Health Nursing,https://evolve.elsevier.com/cs/product/9780323067151?role=student,,,,,,,,,,,
369,TRUE,Psychiatric Nursing,"Keltner, Norman L.; Schwecke, Lee Hilyard; Bostrom, Carol E.",5th,,2007,Mosby Elsevier,978-0-323-03605-2,,"TY  - BOOK|||T1  - Psychiatric Nursing|||AU  - Keltner, Norman L.|||AU  - Schwecke, Lee Hilyard|||AU  - Bostrom, Carol E.|||ED  - 5th|||PY  - 2007|||PB  - Mosby Elsevier|||SN  - 978-0-323-03605-2|||ER  - ",WY 160,RC440,Psychiatric Nursing,https://evolve.elsevier.com/cs/product/9780323036052?role=student,,,,,,,,,,,
370,TRUE,Diagnostic Imaging for the Emergency Physician,"Broder, Joshua S.",,,2011,Elsevier Saunders,978-1-4160-6113-7,,"TY  - BOOK|||T1  - Diagnostic Imaging for the Emergency Physician|||AU  - Broder, Joshua S.|||PY  - 2011|||PB  - Elsevier Saunders|||SN  - 978-1-4160-6113-7|||ER  - ",WN 180,RC78,Diagnostic Imaging; Emergency Medicine,https://www.clinicalkey.com/#!/browse/book/3-s2.0-C20090530988,,,,,,,,,,,
371,TRUE,Clinical Anatomy of the Visual System,"Remington, Lee Ann",2nd?,?,,Butterworth-Heinemann Elsevier,2ª Ed es ~2005. Verificar detalles.,,"TY  - BOOK|||T1  - Clinical Anatomy of the Visual System|||AU  - Remington, Lee Ann|||ED  - 2nd?|||PY  - 2005?|||PB  - Butterworth-Heinemann Elsevier|||N1  - 2nd Ed is ~2005. Verify details.|||ER  - ",WW 101,QM511,Eye / anatomy & histology,,,,,,,,,,,,
